Text,Emotion
Yes.I am in fyp lab cabin.but fyp presentations are going on,neutral
Yar insan ka bcha bn chawliyn na mar :p ,joy
Terai uncle nai kahna hai kai ham nai to bahr bhaija tha paisa barbad kr kai tu wapis aa gia,disgust
Yr ajao I m cming in the club,neutral
Mje wese Nimra ahmad ka Qur'aan ki aayaat k baray mein depth se samajhna or likhna bht acha lgta h wese. Or khaas kr uska knowlege words k origin k baray mein bht h.. Chahay Mus'haf mein arabic words hon ya jannat k pattay mein turkish words!!,joy
Ne khala m chlta hn wo tamatar la k jany hn,neutral
Kal mje doctor hospital se  pehle sarak par Karne wala pul ata hai waha se pick kar   loo ge or kitne bje Jana hai,optimism
If you have received this message,neutral
OK mae internet sae dekh or btata hoon,neutral
bai mara bi Halmet chori ho cuka ha aur wapsi ki umeed rkhna bi bekaR ha ,pessimism
Start main itni e milti hain agy eductn improve salary improve :p ,trust
Yar main wapis a k bt kru? Aur Nashta ne kia,neutral
Yr bta na nust ki last date kb ha?,neutral
Wo msg tu nai edit krna dukandar code btai ga tujhai wo secret code or apna user name free acount ka send kr daina hai,neutral
Oye tu intne din khla k pas kuen rhe ga,surprise
Yar eca ki assignment submit krwa de tu ny?,neutral
Me helmat ki wja se bxh gya ,joy
Many usay khana ha trest dy day warna many babhi ko bta dena ha kay tu daba ha :p,joy
Nai pgl..koi masla nai..le ao usko..,trust
"OK main aagy programming kis class main tha jub tera msg aya tha,,,",neutral
Or mama ne aj kia bnaya ha? Mri mama ne chicken palak bnae ha.,neutral
Yr tu multan chala ja waha sy mil k a jai un k 7lhr,neutral
I am a drug addict without his drug right now you can't expect me to act sanely.I'm not normal right now n I can do anything that people wont expect me to like killing people,fear
Yr koi or clr rakh lo white dhoney wala boski rakh lo,neutral
"Hahaha koi nhi, tm mje sensor krke suna dena :P",joy
Sab 10 marla ka he poch rhy hain :p,joy
Sahi.... Mayra bhi conform hai takreeban ...bus shaued chance hookay kahien Jana perjaye....,anticipation
Wo n block me 11:30 pe tumhara w8 kre gi yad se punch jana.,trust
Srtm. Pata ni isi tari ki thi koi,neutral
