Text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
Yar likhna shoro kr di hai kal 12 bjai ka time hai ho jai gi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr mujy hafty ki be cls laena hn a ur fir late ho jao ga min.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Me phle buht religious ta
Ab time k sath sath Lahore me reh k la parwa ho gya hn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yar aj kal mosam change ho raha hy is liya bimar ho rahy hain log tm b khyala rakhu or problem na hu jye,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wo abhe gya ha mare hstel se theak tha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomorow we hav meeting at 11:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bhai tu gourmet waly chok ma aja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goli maro tang krne wale ko...serious hi na lo n na response do,khud hi hat jaye ga",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOya hwa tha utha hO abi bOok opn ki ha ap bOlo..?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tjhe kehnx ki zar0ort nae xr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mery pass hy tou par hm b woi parh rai hain thomas ki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr kuch add krdy net s kisi report ka dekh kr.mai sony lga hu 3 bjy phr uthna hy jutt k liay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yaat tu na aa, mjy 1 kaam jana parr gia hai. Ill be at your house around 10.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is k total 5 marks main jtni zyada bat utnay hi zyada no hain jnb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pti to es waqat jis mosibat sy guzar rha hy me us ko mehsoos kr sakta ho ....
ye mosibat sirf Allah kam kar sakta hy ...
pti tujhy ab sabar karna pry ga or mazboot hona pry ga....w
beshak quran me hy ke har mushkil k sath asani h...
insha Allah jaise jaise din guRy gay ye preshani kam hoti jati ge...",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hello Guys We r only 2 members in group and need 2 members more so Who wanna join us In Class Groups for labs and study..... ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yarw 1 baar phir soch lay kia karna hay,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr mam se achy paper ki umed na rakhy koi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tujy june 2015 wali chahiye? Ya december 2014?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sory us k 1st row m dekgte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rizwan ak bank bta raha tha waha. I'd py khul jata hy. ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Us se poch k agar koi important kam hato rat 11 bjay tak ajata hu uski taraf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Haha yar tera boht boht shukria tu nai yad kia..
.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
g pti shb kiya kr rhy h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jumma mubarik :-P parh lea karo kbe tm bhe hehehe ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Now IA i'll complete my App tomorow .,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nmbr ap mjhay wesay bta dein.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
